Vcc_case,Rfo_case,X_case,T_case,Mean_power(mW)
0,RFO,0,1,0.4304170897094831
0,RFO,1,1,0.4307357235578706
0,RFO,2,1,0.4312100438458518
0,RFO,3,1,0.43177271103364623
0,RFO,4,1,0.43237161304191823
0,RFO,5,1,0.4329698652517767
0,RFO,6,1,0.4335458105047754
0,RFO,7,1,0.4340930191029127
0,RFO,8,1,0.4346202888086315
0,RFO,9,1,0.43515164484481966
0,RFO,10,1,0.4357263398948095
0,RFO,11,1,0.4363988541023782
0,RFO,12,1,0.43723889507174757
0,RFO,13,1,0.43833139786758407
0,RFO,14,1,0.4397765250149989
1,RFO,0,1,0.4608324048832449
1,RFO,1,1,0.46115103873163243
1,RFO,2,1,0.46162535901961366
1,RFO,3,1,0.46218802620740806
1,RFO,4,1,0.46278692821568007
1,RFO,5,1,0.46338518042553856
1,RFO,6,1,0.4639611256785373
1,RFO,7,1,0.46450833427667454
1,RFO,8,1,0.46503560398239335
1,RFO,9,1,0.46556696001858144
1,RFO,10,1,0.4661416550685713
1,RFO,11,1,0.46681416927614006
1,RFO,12,1,0.4676542102455094
1,RFO,13,1,0.4687467130413459
1,RFO,14,1,0.47019184018876076
