iteration,current(A)
0.000000,0.000017
1.000000,0.000017
2.000000,0.000017
3.000000,0.000017
4.000000,0.000017
5.000000,0.000017
6.000000,0.000017
7.000000,0.000017
8.000000,0.000017
9.000000,0.000017
10.000000,0.000017
11.000000,0.000017
12.000000,0.000017
13.000000,0.000017
14.000000,0.000017
15.000000,0.000017
16.000000,0.000017
17.000000,0.000017
18.000000,0.000017
19.000000,0.000017
20.000000,0.000017
21.000000,0.000017
22.000000,0.000017
23.000000,0.000017
24.000000,0.000017
25.000000,0.000017
26.000000,0.000017
27.000000,0.000017
28.000000,0.000017
29.000000,0.000017
30.000000,0.000017
31.000000,0.000017
32.000000,0.000017
33.000000,0.000017
34.000000,0.000017
35.000000,0.000017
36.000000,0.000017
37.000000,0.000017
38.000000,0.000017
39.000000,0.000017
40.000000,0.000017
41.000000,0.000017
42.000000,0.000017
43.000000,0.000017
44.000000,0.000017
45.000000,0.000017
46.000000,0.000017
47.000000,0.000017
48.000000,0.000017
49.000000,0.000017
